Date,Solar_Capacity_MW
01-01-2008,0.4
01-02-2008,0.4
01-03-2008,0.4
01-04-2008,0.4
01-05-2008,0.4
01-06-2008,0.4
01-07-2008,0.4
01-08-2008,0.4
01-09-2008,0.4
01-10-2008,0.4
01-11-2008,0.4
01-12-2008,0.4
01-01-2009,0.6
01-02-2009,0.6
01-03-2009,0.6
01-04-2009,0.6
01-05-2009,0.6
01-06-2009,0.6
01-07-2009,0.6
01-08-2009,0.6
01-09-2009,0.6
01-10-2009,0.6
01-11-2009,0.6
01-12-2009,0.6
01-01-2010,0.6
01-02-2010,0.6
01-03-2010,0.6
01-04-2010,0.6
01-05-2010,0.6
01-06-2010,0.6
01-07-2010,0.6
01-08-2010,0.6
01-09-2010,0.6
01-10-2010,0.6
01-11-2010,0.6
01-12-2010,0.6
01-01-2011,0.7
01-02-2011,0.7
01-03-2011,0.7
01-04-2011,0.7
01-05-2011,0.7
01-06-2011,0.7
01-07-2011,0.7
01-08-2011,0.7
01-09-2011,0.7
01-10-2011,0.7
01-11-2011,0.7
01-12-2011,0.7
01-01-2012,0.7
01-02-2012,0.7
01-03-2012,0.7
01-04-2012,0.7
01-05-2012,0.7
01-06-2012,0.7
01-07-2012,0.7
01-08-2012,0.7
01-09-2012,0.7
01-10-2012,0.7
01-11-2012,0.7
01-12-2012,0.7
01-01-2013,1
01-02-2013,1
01-03-2013,1
01-04-2013,1
01-05-2013,1
01-06-2013,1
01-07-2013,1
01-08-2013,1
01-09-2013,1
01-10-2013,1
01-11-2013,1
01-12-2013,1
01-01-2014,1.1
01-02-2014,1.1
01-03-2014,1.1
01-04-2014,1.1
01-05-2014,1.1
01-06-2014,1.1
01-07-2014,1.1
01-08-2014,1.1
01-09-2014,1.1
01-10-2014,1.1
01-11-2014,1.1
01-12-2014,1.1
01-01-2015,2.1
01-02-2015,2.1
01-03-2015,2.1
01-04-2015,2.1
01-05-2015,2.1
01-06-2015,2.1
01-07-2015,2.1
01-08-2015,2.1
01-09-2015,2.1
01-10-2015,2.1
01-11-2015,2.1
01-12-2015,2.1
01-01-2016,5.1
01-02-2016,5.1
01-03-2016,5.1
01-04-2016,5.1
01-05-2016,5.1
01-06-2016,5.1
01-07-2016,5.1
01-08-2016,5.1
01-09-2016,5.1
01-10-2016,5.1
01-11-2016,5.1
01-12-2016,5.1
01-01-2017,15.7
01-02-2017,15.7
01-03-2017,15.7
01-04-2017,15.7
01-05-2017,15.7
01-06-2017,15.7
01-07-2017,15.7
01-08-2017,15.7
01-09-2017,15.7
01-10-2017,15.7
01-11-2017,15.7
01-12-2017,15.7
01-01-2018,29
01-02-2018,29
01-03-2018,29
01-04-2018,29
01-05-2018,29
01-06-2018,29
01-07-2018,29
01-08-2018,29
01-09-2018,29
01-10-2018,29
01-11-2018,29
01-12-2018,29
01-01-2019,36
01-02-2019,36
01-03-2019,36
01-04-2019,36
01-05-2019,36
01-06-2019,36
01-07-2019,36
01-08-2019,36
01-09-2019,36
01-10-2019,36
01-11-2019,36
01-12-2019,36
01-01-2020,89.9
01-02-2020,89.9
01-03-2020,89.9
01-04-2020,89.9
01-05-2020,89.9
01-06-2020,89.9
01-07-2020,89.9
01-08-2020,89.9
01-09-2020,89.9
01-10-2020,89.9
01-11-2020,89.9
01-12-2020,89.9
01-01-2021,92.4
01-02-2021,92.4
01-03-2021,92.4
01-04-2021,92.4
01-05-2021,92.4
01-06-2021,92.4
01-07-2021,92.4
01-08-2021,92.4
01-09-2021,92.4
01-10-2021,92.4
01-11-2021,92.4
01-12-2021,92.4
01-01-2022,187.9
01-02-2022,187.9
01-03-2022,187.9
01-04-2022,187.9
01-05-2022,187.9
01-06-2022,187.9
01-07-2022,187.9
01-08-2022,187.9
01-09-2022,187.9
01-10-2022,187.9
01-11-2022,187.9
01-12-2022,187.9
01-01-2023,445.2
01-02-2023,445.2
01-03-2023,445.2
01-04-2023,445.2
01-05-2023,445.2
01-06-2023,445.2
01-07-2023,445.2
01-08-2023,445.2
01-09-2023,445.2
01-10-2023,445.2
01-11-2023,445.2
01-12-2023,445.2
