Date,Wind_Capacity_MW
2008-01-01,740.46
2008-02-01,747.96
2008-03-01,777.0600000000001
2008-04-01,825.25
2008-05-01,825.25
2008-06-01,911.6400000000001
2008-07-01,931.19
2008-08-01,931.19
2008-09-01,931.19
2008-10-01,938.857
2008-11-01,945.2570000000001
2008-12-01,945.2570000000001
2009-01-01,945.2570000000001
2009-02-01,957.2070000000001
2009-03-01,971.7070000000001
2009-04-01,978.2570000000001
2009-05-01,978.2570000000001
2009-06-01,1010.7570000000001
2009-07-01,1080.657
2009-08-01,1080.657
2009-09-01,1105.0569999999998
2009-10-01,1169.157
2009-11-01,1181.0569999999998
2009-12-01,1270.8069999999998
2010-01-01,1270.8069999999998
2010-02-01,1286.107
2010-03-01,1303.6569999999997
2010-04-01,1313.647
2010-05-01,1313.647
2010-06-01,1393.6969999999997
2010-07-01,1393.6969999999997
2010-08-01,1393.6969999999997
2010-09-01,1395.2869999999998
2010-10-01,1395.2869999999998
2010-11-01,1400.4099999999999
2010-12-01,1400.4279999999999
2011-01-01,1443.5279999999998
2011-02-01,1448.1779999999999
2011-03-01,1453.2779999999998
2011-04-01,1472.878
2011-05-01,1485.378
2011-06-01,1511.378
2011-07-01,1530.368
2011-08-01,1592.808
2011-09-01,1592.808
2011-10-01,1617.098
2011-11-01,1617.598
2011-12-01,1620.998
2012-01-01,1620.998
2012-02-01,1620.998
2012-03-01,1620.998
2012-04-01,1635.9879999999998
2012-05-01,1635.9879999999998
2012-06-01,1670.268
2012-07-01,1670.2779999999998
2012-08-01,1670.2779999999998
2012-09-01,1682.878
2012-10-01,1707.09
2012-11-01,1710.9899999999998
2012-12-01,1748.8899999999999
2013-01-01,1748.8899999999999
2013-02-01,1763.7069999999999
2013-03-01,1771.9869999999999
2013-04-01,1786.1369999999997
2013-05-01,1805.1369999999997
2013-06-01,1805.1369999999997
2013-07-01,1818.0869999999998
2013-08-01,1818.0869999999998
2013-09-01,1875.2869999999998
2013-10-01,1880.2869999999998
2013-11-01,1885.3969999999997
2013-12-01,1924.3969999999997
2014-01-01,1970.3469999999998
2014-02-01,2028.2469999999998
2014-03-01,2043.2369999999996
2014-04-01,2043.2369999999996
2014-05-01,2081.537
2014-06-01,2081.8369999999995
2014-07-01,2152.9369999999994
2014-08-01,2164.9369999999994
2014-09-01,2176.9569999999994
2014-10-01,2213.9569999999994
2014-11-01,2228.9569999999994
2014-12-01,2267.5569999999993
2015-01-01,2267.5569999999993
2015-02-01,2267.5569999999993
2015-03-01,2267.5569999999993
2015-04-01,2267.5569999999993
2015-05-01,2322.4569999999994
2015-06-01,2353.5569999999993
2015-07-01,2371.5569999999993
2015-08-01,2371.606999999999
2015-09-01,2398.4569999999994
2015-10-01,2422.4569999999994
2015-11-01,2427.4569999999994
2015-12-01,2447.4569999999994
2016-01-01,2457.4569999999994
2016-02-01,2467.4569999999994
2016-03-01,2467.4569999999994
2016-04-01,2480.4569999999994
2016-05-01,2480.4569999999994
2016-06-01,2491.1569999999992
2016-07-01,2491.1569999999992
2016-08-01,2526.356999999999
2016-09-01,2548.455999999999
2016-10-01,2620.815999999999
2016-11-01,2659.515999999999
2016-12-01,2795.105999999999
2017-01-01,2799.705999999999
2017-02-01,2845.204999999999
2017-03-01,2860.003999999999
2017-04-01,2865.153999999999
2017-05-01,2926.953999999999
2017-06-01,3018.2839999999987
2017-07-01,3065.6839999999993
2017-08-01,3085.403999999999
2017-09-01,3096.903999999999
2017-10-01,3110.481999999999
2017-11-01,3172.106999999999
2017-12-01,3302.773999999999
2018-01-01,3334.523999999999
2018-02-01,3376.513999999999
2018-03-01,3416.113999999999
2018-04-01,3428.663999999999
2018-05-01,3428.663999999999
2018-06-01,3446.843999999999
2018-07-01,3456.293999999999
2018-08-01,3495.093999999999
2018-09-01,3517.142999999999
2018-10-01,3604.142999999999
2018-11-01,3609.142999999999
2018-12-01,3667.537999999999
2019-01-01,3683.2379999999994
2019-02-01,3683.2379999999994
2019-03-01,3701.2379999999994
2019-04-01,3703.8759999999993
2019-05-01,3730.325999999999
2019-06-01,3738.824999999999
2019-07-01,3738.824999999999
2019-08-01,3776.784999999999
2019-09-01,3901.7649999999994
2019-10-01,3961.6039999999994
2019-11-01,4012.1039999999994
2019-12-01,4113.293
2020-01-01,4149.7919999999995
2020-02-01,4187.2919999999995
2020-03-01,4213.440999999999
2020-04-01,4247.040999999999
2020-05-01,4247.040999999999
2020-06-01,4247.040999999999
2020-07-01,4247.040999999999
2020-08-01,4247.040999999999
2020-09-01,4247.040999999999
2020-10-01,4278.390999999999
2020-11-01,4278.390999999999
2020-12-01,4323.391
2021-01-01,4332.690999999999
2021-02-01,4332.690999999999
2021-03-01,4332.690999999999
2021-04-01,4332.810999999999
2021-05-01,4332.810999999999
2021-06-01,4332.810999999999
2021-07-01,4332.810999999999
2021-08-01,4332.810999999999
2021-09-01,4332.810999999999
2021-10-01,4332.810999999999
2021-11-01,4332.810999999999
2021-12-01,4332.810999999999
2022-01-01,4332.810999999999
2022-02-01,4343.740999999998
2022-03-01,4343.740999999998
2022-04-01,4344.240999999998
2022-05-01,4344.240999999998
2022-06-01,4344.240999999998
2022-07-01,4367.300999999999
2022-08-01,4367.300999999999
2022-09-01,4397.300999999999
2022-10-01,4427.300999999999
2022-11-01,4467.900999999998
2022-12-01,4527.900999999998
2023-01-01,4556.900999999998
2023-02-01,4570.700999999999
2023-03-01,4570.700999999999
2023-04-01,4588.700999999999
2023-05-01,4588.700999999999
2023-06-01,4638.900999999998
2023-07-01,4666.300999999999
2023-08-01,4700.700999999998
2023-09-01,4713.600999999999
2023-10-01,4713.600999999999
2023-11-01,4713.600999999999
2023-12-01,4731.390999999998
2024-01-01,4731.390999999998
2024-02-01,4747.290999999998
2024-03-01,4768.890999999998
2024-04-01,4768.890999999998
2024-05-01,4768.890999999998
2024-06-01,4809.890999999999
2024-07-01,4809.890999999999
2024-08-01,4838.0909999999985
2024-09-01,4852.5909999999985
2024-10-01,4934.0909999999985
2024-11-01,4934.0909999999985
2024-12-01,4934.0909999999985
